iter	Passed	Remaining
172	693	1311
173	698	1308
174	699	1299
175	704	1297
176	708	1293
177	713	1290
178	718	1289
179	723	1285
180	727	1281
181	732	1280
182	737	1277
183	741	1273
184	746	1270
185	750	1267
186	755	1264
187	760	1261
188	764	1257
189	769	1255
190	772	1250
191	777	1246
192	779	1240
193	782	1234
194	787	1231
195	790	1225
196	793	1220
197	797	1216
198	800	1210
199	804	1206
200	808	1202
201	813	1199
202	817	1196
203	822	1192
204	827	1191
205	831	1186
206	835	1183
207	839	1179
208	843	1174
209	847	1170
210	852	1167
211	856	1162
212	860	1159
213	864	1155
214	868	1151
215	871	1145
216	875	1141
217	880	1139
218	885	1136
219	890	1133
220	894	1129
221	900	1127
222	903	1121
223	906	1116
224	910	1112
225	914	1108
226	918	1104
227	922	1100
228	926	1095
229	930	1092
230	934	1088
231	939	1084
232	944	1081
233	947	1077
234	952	1074
235	957	1070
236	961	1067
237	964	1061
238	968	1057
239	970	1051
240	973	1046
241	978	1042
242	981	1038
243	987	1035
244	991	1031
245	996	1028
246	1000	1024
247	1004	1020
248	1007	1015
249	1010	1010
250	1014	1006
251	1019	1003
252	1023	999
253	1027	995
254	1032	991
255	1036	988
256	1041	984
257	1044	980
258	1049	976
259	1053	972
260	1057	968
261	1061	963
262	1065	959
263	1069	956
264	1073	952
265	1077	948
266	1081	944
267	1086	940
268	1091	937
269	1096	933
270	1100	930
271	1105	926
272	1108	922
273	1112	917
274	1116	913
275	1120	909
276	1125	906
277	1129	902
278	1132	897
279	1136	893
280	1141	889
281	1145	885
282	1148	880
283	1152	876
284	1156	872
285	1160	868
286	1164	864
287	1168	860
288	1171	855
289	1176	851
290	1179	847
291	1184	844
292	1189	840
293	1192	835
294	1195	830
295	1199	826
296	1203	822
297	1208	819
298	1212	815
299	1216	811
300	1220	806
301	1224	802
302	1229	799
303	1234	795
304	1238	791
305	1242	787
306	1246	783
307	1251	780
308	1256	776
309	1260	772
310	1264	768
311	1269	764
312	1273	760
313	1278	757
314	1282	753
315	1286	749
316	1292	745
317	1296	742
318	1300	738
319	1305	734
320	1310	730
321	1314	726
322	1319	723
323	1323	719
324	1327	715
325	1333	711
326	1337	707
327	1341	703
328	1344	698
329	1348	694
330	1353	690
331	1357	686
332	1360	682
333	1365	678
334	1368	674
335	1372	669
336	1377	666
337	1380	661
338	1383	657
339	1387	652
340	1392	649
341	1395	644
342	1399	640
343	1404	636
344	1409	633
345	1413	629
346	1418	625
347	1422	621
348	1426	617
349	1430	613
350	1434	608
351	1439	605
352	1444	601
353	1448	597
354	1451	592
355	1456	589
356	1460	585
357	1465	581
358	1469	577
359	1474	573
360	1478	569
361	1483	565
362	1488	561
363	1492	557
364	1496	553
365	1501	549
366	1506	545
367	1509	541
368	1512	537
369	1516	532
370	1521	528
371	1525	524
372	1529	520
373	1533	516
374	1538	512
375	1542	508
376	1547	504
377	1552	501
378	1556	496
379	1559	492
380	1564	488
381	1568	484
382	1572	480
383	1577	476
384	1580	472
385	1584	467
386	1586	463
387	1591	459
388	1594	455
389	1598	450
390	1603	446
391	1606	442
392	1610	438
393	1614	434
394	1619	430
395	1622	426
396	1627	422
397	1632	418
398	1636	414
399	1641	410
400	1645	406
401	1648	401
402	1651	397
403	1655	393
404	1659	389
405	1663	385
406	1668	381
407	1672	377
408	1676	372
409	1679	368
410	1684	364
411	1688	360
412	1691	356
413	1696	352
414	1700	348
415	1705	344
416	1709	340
417	1713	336
418	1718	332
419	1722	328
420	1727	324
421	1732	320
422	1736	316
423	1740	311
424	1744	307
425	1748	303
426	1752	299
427	1757	295
428	1761	291
429	1765	287
430	1770	283
431	1774	279
432	1778	275
433	1782	271
434	1787	267
435	1791	262
436	1795	258
437	1799	254
438	1804	250
439	1808	246
440	1812	242
441	1816	238
442	1821	234
443	1826	230
444	1830	226
445	1834	222
446	1838	218
447	1842	213
448	1846	209
449	1850	205
450	1854	201
451	1857	197
452	1861	193
453	1865	189
454	1869	184
455	1873	180
456	1876	176
457	1880	172
458	1884	168
459	1888	164
460	1892	160
461	1896	155
462	1899	151
463	1903	147
464	1907	143
465	1911	139
466	1914	135
467	1919	131
468	1924	127
469	1929	123
470	1934	119
471	1938	115
472	1943	110
473	1947	106
474	1952	102
475	1955	98
476	1958	94
477	1962	90
478	1967	86
479	1971	82
480	1976	78
481	1980	73
482	1984	69
483	1987	65
484	1992	61
485	1997	57
486	2001	53
487	2005	49
488	2009	45
489	2012	41
490	2017	36
491	2021	32
492	2026	28
493	2030	24
494	2034	20
495	2038	16
496	2043	12
497	2046	8
498	2050	4
499	2055	0
