iter	Quantile:alpha=0.95
0	0.02612754546
1	0.02611198471
2	0.0261020455
3	0.02608885559
4	0.02606762217
5	0.02605666099
6	0.02604403026
7	0.02603390941
8	0.02601281265
9	0.02600239412
10	0.0259886586
11	0.02597256176
12	0.02596111591
13	0.02595292653
14	0.02594515057
15	0.02593085963
16	0.02591758344
17	0.02591212812
18	0.02590018673
19	0.02588342689
20	0.02588175702
21	0.02586672489
22	0.02585845954
23	0.02584396154
24	0.02583076683
25	0.02582618709
26	0.02581569136
27	0.02580688274
28	0.02580042434
29	0.02579270102
30	0.02578665344
31	0.02577839976
32	0.02577069297
33	0.02576445876
34	0.02576176113
35	0.02575574754
36	0.02574743686
37	0.02574148028
38	0.02573265823
39	0.02572048052
40	0.02571673068
41	0.02570908704
42	0.02570565168
43	0.02569927463
44	0.02569337656
45	0.02568430958
46	0.02567399188
47	0.02567026308
48	0.0256643122
49	0.02565292748
50	0.02563708545
51	0.02563495101
52	0.02563056691
53	0.02562970811
54	0.02561949378
55	0.02561672966
56	0.02561483769
57	0.02560936789
58	0.02559884751
59	0.02558712683
60	0.02558114605
61	0.02557801764
62	0.02557217429
63	0.02556676791
64	0.02555963753
65	0.0255540574
66	0.02554924639
67	0.02553972662
68	0.02553767123
69	0.02552906016
70	0.02552762686
71	0.02552361567
72	0.02551815197
73	0.02551145736
74	0.02550922046
75	0.02550047546
76	0.02549277801
77	0.02548977587
78	0.02548565135
79	0.02548321562
80	0.02548091569
81	0.02547921706
82	0.02547762673
83	0.02547542625
84	0.02545398696
85	0.02545237903
86	0.0254504886
87	0.02544602273
88	0.02544566025
89	0.02543910975
90	0.02542980193
91	0.02541893452
92	0.02541241097
93	0.02541017268
94	0.02540799453
95	0.02540043758
96	0.02539125194
97	0.02538632771
98	0.02538473545
99	0.02538208188
100	0.02537952172
101	0.02537124023
102	0.02536760532
103	0.02535949065
104	0.02535910948
105	0.02535713943
106	0.02535572313
107	0.02535168176
108	0.02534595339
109	0.02534039086
110	0.02533187684
111	0.02532906414
112	0.02532436704
113	0.02531991736
114	0.02531899945
115	0.02531217252
116	0.02530958601
117	0.02530285947
118	0.02530173419
119	0.02529937883
120	0.02529681897
